Time,Open,High,Low,Close,TickVolume,Spread,RealVolume
2025-10-06 20:13:00,0.79497,0.79498,0.79495,0.79498,6,8,0
2025-10-06 20:14:00,0.79498,0.79499,0.79498,0.79499,4,8,0
2025-10-06 20:15:00,0.79497,0.79501,0.79497,0.79501,4,10,0
2025-10-06 20:16:00,0.79503,0.79503,0.79501,0.79503,3,7,0
2025-10-06 20:17:00,0.79502,0.79502,0.79491,0.79491,6,8,0
2025-10-06 20:18:00,0.79492,0.79492,0.79486,0.79487,4,8,0
2025-10-06 20:19:00,0.79486,0.79487,0.79478,0.79478,9,10,0
2025-10-06 20:20:00,0.79478,0.79478,0.79462,0.79462,12,10,0
2025-10-06 20:21:00,0.79463,0.79466,0.79462,0.79462,8,10,0
2025-10-06 20:22:00,0.79465,0.7947,0.79463,0.7947,7,6,0
2025-10-06 20:23:00,0.7947,0.79475,0.7947,0.79475,6,10,0
2025-10-06 20:24:00,0.79476,0.7948,0.79476,0.7948,4,8,0
2025-10-06 20:25:00,0.79479,0.79481,0.79478,0.79479,6,10,0
2025-10-06 20:26:00,0.79477,0.79482,0.79477,0.79481,10,10,0
2025-10-06 20:27:00,0.79484,0.79484,0.79482,0.79484,3,6,0
2025-10-06 20:28:00,0.79481,0.79482,0.79481,0.79481,5,10,0
2025-10-06 20:29:00,0.79482,0.79482,0.79471,0.79474,17,10,0
2025-10-06 20:30:00,0.79475,0.79478,0.79475,0.79478,4,10,0
2025-10-06 20:31:00,0.79481,0.79482,0.79479,0.79482,23,8,0
2025-10-06 20:32:00,0.79482,0.79484,0.79478,0.79484,3,7,0
2025-10-06 20:33:00,0.79481,0.79481,0.79481,0.79481,1,10,0
2025-10-06 20:34:00,0.79477,0.79483,0.79477,0.79481,3,7,0
2025-10-06 20:35:00,0.79481,0.79482,0.79481,0.79482,2,9,0
2025-10-06 20:36:00,0.79477,0.79482,0.79477,0.79482,3,9,0
2025-10-06 20:37:00,0.79483,0.79483,0.79481,0.79481,4,8,0
2025-10-06 20:38:00,0.79481,0.79481,0.79476,0.79481,4,10,0
2025-10-06 20:39:00,0.79481,0.79484,0.79481,0.79482,6,8,0
2025-10-06 20:40:00,0.79484,0.79484,0.79479,0.79479,5,8,0
2025-10-06 20:41:00,0.79481,0.79481,0.79478,0.79479,3,9,0
2025-10-06 20:42:00,0.79479,0.79479,0.79479,0.79479,1,11,0
2025-10-06 20:43:00,0.79479,0.79485,0.79479,0.79485,6,8,0
2025-10-06 20:44:00,0.79485,0.79488,0.79485,0.79488,4,7,0
2025-10-06 20:45:00,0.79485,0.79489,0.79484,0.79486,8,6,0
2025-10-06 20:46:00,0.79488,0.79488,0.79482,0.79483,5,7,0
2025-10-06 20:47:00,0.79483,0.79483,0.79477,0.79477,5,10,0
2025-10-06 20:48:00,0.79477,0.79478,0.79476,0.79478,4,10,0
2025-10-06 20:49:00,0.79478,0.79481,0.79478,0.79478,9,10,0
2025-10-06 20:50:00,0.79449,0.79482,0.79449,0.79478,6,11,0
2025-10-06 20:51:00,0.7948,0.7948,0.79475,0.79477,10,8,0
2025-10-06 20:52:00,0.79476,0.7948,0.79476,0.7948,8,11,0
2025-10-06 20:53:00,0.7948,0.7948,0.79478,0.79478,2,11,0
2025-10-06 20:54:00,0.79478,0.7948,0.79478,0.79479,9,10,0
2025-10-06 20:55:00,0.79475,0.79476,0.79475,0.79475,3,19,0
2025-10-06 20:56:00,0.79476,0.79486,0.79476,0.79476,24,19,0
2025-10-06 20:57:00,0.79477,0.7948,0.79472,0.79472,34,19,0
2025-10-06 20:58:00,0.79472,0.79483,0.79466,0.7947,20,19,0
2025-10-06 20:59:00,0.7947,0.7947,0.7947,0.7947,1,57,0
2025-10-06 21:01:00,0.79447,0.79466,0.79447,0.79466,4,158,0
2025-10-06 21:03:00,0.79447,0.79493,0.79447,0.79493,4,140,0
2025-10-06 21:05:00,0.79491,0.79491,0.79491,0.79491,1,142,0
2025-10-06 21:06:00,0.79491,0.79491,0.79469,0.79469,2,131,0
2025-10-06 21:07:00,0.79469,0.79476,0.79469,0.79476,2,124,0
2025-10-06 21:08:00,0.79469,0.79473,0.79469,0.79473,2,127,0
2025-10-06 21:09:00,0.79473,0.79473,0.7947,0.79471,3,127,0
2025-10-06 21:10:00,0.79471,0.79471,0.7947,0.7947,2,131,0
2025-10-06 21:11:00,0.7947,0.7947,0.7947,0.7947,1,132,0
2025-10-06 21:12:00,0.7947,0.7947,0.79469,0.79469,2,132,0
2025-10-06 21:13:00,0.79469,0.79469,0.79469,0.79469,1,133,0
2025-10-06 21:14:00,0.79469,0.79469,0.79469,0.79469,1,133,0
2025-10-06 21:15:00,0.7949,0.79507,0.7949,0.79507,3,89,0
2025-10-06 21:16:00,0.79469,0.79506,0.79469,0.79506,3,89,0
2025-10-06 21:17:00,0.79469,0.795,0.79469,0.795,2,89,0
2025-10-06 21:18:00,0.79483,0.79499,0.79475,0.79499,5,89,0
2025-10-06 21:19:00,0.79498,0.79563,0.79474,0.79474,4,62,0
2025-10-06 21:20:00,0.79474,0.79508,0.79444,0.79508,5,89,0
2025-10-06 21:21:00,0.79476,0.79477,0.79476,0.79477,2,73,0
2025-10-06 21:22:00,0.79477,0.79509,0.79466,0.79491,4,72,0
2025-10-06 21:23:00,0.79463,0.79504,0.79463,0.79501,6,62,0
2025-10-06 21:24:00,0.795,0.79504,0.79496,0.79504,7,62,0
2025-10-06 21:25:00,0.79505,0.79506,0.79497,0.79506,5,62,0
2025-10-06 21:26:00,0.79506,0.79506,0.79476,0.79505,8,62,0
2025-10-06 21:27:00,0.79506,0.79508,0.79495,0.79495,7,62,0
2025-10-06 21:28:00,0.79494,0.79514,0.79494,0.79509,8,62,0
2025-10-06 21:29:00,0.79509,0.7951,0.79508,0.79509,6,89,0
2025-10-06 21:30:00,0.79532,0.79532,0.79494,0.79494,10,62,0
2025-10-06 21:31:00,0.79521,0.79522,0.79493,0.79493,7,62,0
2025-10-06 21:32:00,0.79521,0.79522,0.79493,0.79499,6,62,0
2025-10-06 21:33:00,0.79489,0.79494,0.79487,0.79492,7,62,0
2025-10-06 21:34:00,0.79471,0.79492,0.7947,0.79473,7,62,0
2025-10-06 21:35:00,0.79471,0.79471,0.79469,0.79469,5,62,0
2025-10-06 21:36:00,0.79468,0.79469,0.79462,0.79468,5,62,0
2025-10-06 21:37:00,0.79469,0.79469,0.79468,0.79468,4,62,0
2025-10-06 21:38:00,0.79468,0.79473,0.79461,0.79465,7,62,0
2025-10-06 21:39:00,0.79466,0.79479,0.79463,0.79479,8,62,0
2025-10-06 21:40:00,0.79479,0.7948,0.79466,0.7948,5,62,0
2025-10-06 21:41:00,0.7948,0.79482,0.79466,0.79466,5,62,0
2025-10-06 21:42:00,0.79466,0.79481,0.79466,0.79467,4,62,0
2025-10-06 21:43:00,0.79466,0.79476,0.79466,0.79473,9,62,0
2025-10-06 21:44:00,0.79474,0.79474,0.79472,0.79473,4,62,0
2025-10-06 21:45:00,0.79474,0.79475,0.79462,0.79475,7,62,0
2025-10-06 21:46:00,0.79474,0.79475,0.79472,0.79472,7,62,0
2025-10-06 21:47:00,0.79471,0.79472,0.79463,0.7947,5,62,0
2025-10-06 21:48:00,0.79471,0.79471,0.79462,0.79468,7,62,0
2025-10-06 21:49:00,0.79467,0.79467,0.79461,0.79465,5,62,0
2025-10-06 21:50:00,0.79464,0.79472,0.79464,0.7947,6,62,0
2025-10-06 21:51:00,0.79466,0.79473,0.79466,0.79469,4,62,0
2025-10-06 21:52:00,0.79471,0.79479,0.79469,0.79479,9,62,0
2025-10-06 21:53:00,0.79479,0.79494,0.79475,0.79494,4,62,0
2025-10-06 21:54:00,0.79481,0.79486,0.79481,0.79486,5,62,0
2025-10-06 21:55:00,0.79487,0.79496,0.79477,0.79487,8,62,0
2025-10-06 21:56:00,0.79486,0.79486,0.79476,0.79477,6,62,0
2025-10-06 21:57:00,0.79476,0.7948,0.79471,0.79471,6,62,0
2025-10-06 21:58:00,0.7951,0.7952,0.79471,0.79488,26,62,0
2025-10-06 21:59:00,0.79487,0.79487,0.79468,0.79482,10,62,0
2025-10-06 22:00:00,0.7949,0.7949,0.79443,0.79462,28,62,0
2025-10-06 22:01:00,0.79463,0.79465,0.79458,0.79465,19,55,0
2025-10-06 22:02:00,0.79462,0.79464,0.79458,0.79461,10,55,0
2025-10-06 22:03:00,0.79462,0.79462,0.7946,0.79462,5,62,0
2025-10-06 22:04:00,0.79461,0.79463,0.7946,0.79463,4,59,0
2025-10-06 22:05:00,0.79461,0.79463,0.79461,0.79463,3,62,0
2025-10-06 22:06:00,0.79462,0.79466,0.79462,0.79466,5,62,0
2025-10-06 22:07:00,0.79481,0.79481,0.79469,0.79481,6,43,0
2025-10-06 22:08:00,0.79465,0.79465,0.7946,0.79461,5,62,0
2025-10-06 22:09:00,0.79479,0.79479,0.7946,0.79461,5,42,0
2025-10-06 22:10:00,0.79461,0.79468,0.79461,0.79467,13,62,0
2025-10-06 22:11:00,0.79481,0.79484,0.79466,0.79468,9,40,0
2025-10-06 22:12:00,0.79474,0.79487,0.79474,0.79479,8,36,0
2025-10-06 22:13:00,0.79477,0.79484,0.79476,0.79479,13,38,0
2025-10-06 22:14:00,0.7948,0.79488,0.79479,0.79486,17,29,0
2025-10-06 22:15:00,0.79488,0.79488,0.79477,0.79482,46,24,0
2025-10-06 22:16:00,0.79481,0.79483,0.79478,0.79478,29,28,0
2025-10-06 22:17:00,0.79479,0.79481,0.79477,0.79479,34,28,0
